,original_country_name,original_ccode,original_facility_name,Coordinates,start_date,Latitude,Longitude,geometry
117,Russia,365,"D1, Urals Electro-Chemical Combine, Novouralsk",57.2485663.60.0888714,1946,57.2485663,60.0888714,POINT (57.2485663 60.0888714)
118,Russia,365,"D3, Urals Electro-Chemical Combine, Novouralsk",57.2485663.60.0888714,1950,57.2485663,60.0888714,POINT (57.2485663 60.0888714)
119,Russia,365,"D4, Urals Electro-Chemical Combine, Novouralsk",57.2485663.60.0888714,1950,57.2485663,60.0888714,POINT (57.2485663 60.0888714)
120,Russia,365,"D5, Urals Electro-Chemical Combine, Novouralsk",57.2485663.60.0888714,1950,57.2485663,60.0888714,POINT (57.2485663 60.0888714)
121,Russia,365,Siberian Chemical Combine - Diffusion (Seversk formerly Tomsk-7),56.58911500000001.84.90131799999999,1949,56.58911500000001,84.90131799999999,POINT (56.58911500000001 84.90131799999999)
122,Russia,365,Siberian Chemical Combine - Centrifuge (Seversk formerly Tomsk-7),56.58911500000001.84.90131799999999,1973,56.58911500000001,84.90131799999999,POINT (56.58911500000001 84.90131799999999)
123,Russia,365,Siberian Chemical Combine (Seversk) II,56.6026874.84.8805395,1949,56.6026874,84.8805395,POINT (56.6026874 84.8805395)
124,Russia,365,Ukrainian Physicotechnical Institute in Khar’kov,50.00413520000001.36.2281997,1941,50.00413520000001,36.2281997,POINT (50.00413520000001 36.2281997)
125,Russia,365,"SU-20, Plant 418",58.638713910553385. 59.79028284818416,1946,58.638713910553385, 59.79028284818416,POINT (58.638713910553385 59.79028284818416)
126,Russia,365,"S-2, Arzamas-16",54.9342792.43.3252503,-99,54.9342792,43.3252503,POINT (54.9342792 43.3252503)
127,South Africa,560,Valindaba (Laser),-25.79947023459287. 27.943314911056277,1983,-25.79947023459287, 27.943314911056277,POINT (-25.79947023459287 27.943314911056277)
128,South Africa,560,Valindaba Y – Plant,-25.79947023459287. 27.943314911056277,1971,-25.79947023459287, 27.943314911056277,POINT (-25.79947023459287 27.943314911056277)
129,South Africa,560,Valindaba Z – Plant,-25.79947023459287. 27.943314911056277,-99,-25.79947023459287, 27.943314911056277,POINT (-25.79947023459287 27.943314911056277)
130,South Africa,560,Laboratory Enrichment Facility at Pelindaba,-25.943447.27.908953,1960,-25.943447,27.908953,POINT (-25.943447 27.908953)
131,South Africa,560,"Hot Cell Complex, Pelindaba Nuclear Research Center",-25.943447.27.908954,1984,-25.943447,27.908954,POINT (-25.943447 27.908954)
132,South Korea,732,KAERI (Laboratory for Quantum Optics at Korea Atomic Energy Research Institute),36.4206333.127.375139,-99,36.4206333,127.375139,POINT (36.4206333 127.375139)
133,South Korea,732,"Hot Cell Facility, (KAERI Facility)",36.4206333.127.375140,-99,36.4206333,127.375140,POINT (36.4206333 127.37514)
134,South Korea,732,Chemical Enrichment (KAERI),36.4206333.127.375141,-99,36.4206333,127.375141,POINT (36.4206333 127.375141)
135,Spain,230,Juan Vigon Pilot Reprocessing Plant,40.456267707782956. -3.7263792401671725,-99,40.456267707782956, -3.7263792401671725,POINT (40.456267707782956 -3.7263792401671725)
136,Sweden,380,Stockholm Extraction Laboratory,59.32932349999999.18.0685808,1946,59.32932349999999,18.0685808,POINT (59.32932349999999 18.0685808)
137,Sweden,380,Studsvik Research Center,58.76956034928185. 17.383489125369064,-99,58.76956034928185, 17.383489125369064,POINT (58.76956034928185 17.383489125369064)
138,Taiwan,713,Institute for Nuclear Energy Reaction (INER) Reprocessing Facility I,24.854969689990586. 121.25335454819705,1970,24.854969689990586, 121.25335454819705,POINT (24.854969689990586 121.25335454819705)
139,Taiwan,713,Institute for Nuclear Energy Reaction (INER) Reprocessing Facility II,24.854969689990586. 121.25335454819705,1975,24.854969689990586, 121.25335454819705,POINT (24.854969689990586 121.25335454819705)
140,United Kingdom,200,Capenhurst A-3,53.2612738.-2.9518011,1982,53.2612738,-2.9518011,POINT (53.2612738 -2.9518011)
141,United Kingdom,200,Capenhurst (GD) (E-22),53.257861.-2.949588,1950,53.257861,-2.949588,POINT (53.257861 -2.949588)
142,United Kingdom,200,Capenhurst (Urenco),53.2601269.-2.944619,-99,53.2601269,-2.944619,POINT (53.2601269 -2.944619)
143,United Kingdom,200,Capenhurst (E-21),53.2612738.-2.9518011,1976,53.2612738,-2.9518011,POINT (53.2612738 -2.9518011)
144,United Kingdom,200,Capenhurst (E-23),53.2612738.-2.9518011,-99,53.2612738,-2.9518011,POINT (53.2612738 -2.9518011)
145,United Kingdom,200,Dounreay Reprocessing Facility,58.57862299999999.-3.747688,1957,58.57862299999999,-3.747688,POINT (58.57862299999999 -3.747688)
146,United Kingdom,200,NDA B205 Magnox Reprocessing,54.421518564476926. -3.4986176193910974,-99,54.421518564476926, -3.4986176193910974,POINT (54.421518564476926 -3.4986176193910974)
147,United Kingdom,200,NDA B205 Plutonium Operating Corridors,54.421518564476926. -3.4986176193910974,-99,54.421518564476926, -3.4986176193910974,POINT (54.421518564476926 -3.4986176193910974)
148,United Kingdom,200,NDA B203 Pu Residues Recovery Plant at Sellafield,54.416653.-3.505638,1951,54.416653,-3.505638,POINT (54.416653 -3.505638)
149,United Kingdom,200,B204 Reprocessing Plant at Sellafield,54.416653.-3.505638,1947,54.416653,-3.505638,POINT (54.416653 -3.505638)
150,United Kingdom,200,NDA Reprocessing Plant MTR,51.66000512950828. -1.228263267290472,1952,51.66000512950828, -1.228263267290472,POINT (51.66000512950828 -1.228263267290472)
151,United Kingdom,200,NDA Thorp,54.415656058459966. -3.5017321880753305,1985,54.415656058459966, -3.5017321880753305,POINT (54.415656058459966 -3.5017321880753305)
152,United Kingdom,200,MOX Demonstration Facility,54.425604.-3.500048,-99,54.425604,-3.500048,POINT (54.425604 -3.500048)
153,Yugoslavia,345,Vinca Reprocessing Center near Belgrade (Boris Kidric Institute of Nuclear Sciences),44.758497974697725. 20.598281709783674,1956,44.758497974697725, 20.598281709783674,POINT (44.758497974697725 20.598281709783674)
154,Yugoslavia,345,Vinca Electromagnetic Isotope Separator (Vinca Laboratory of Physical Chemistry),44.758497974697725. 20.598281709783675,1956,44.758497974697725, 20.598281709783675,POINT (44.758497974697725 20.598281709783674)
155,Yugoslavia,345,Rudjer Boskovic Institute,45.8300113.15.9870591,1952,45.8300113,15.9870591,POINT (45.8300113 15.9870591)
156,Yugoslavia,345,Jozef Stefan Institute near Ljubljana,46.0428588.14.4875933,1949,46.0428588,14.4875933,POINT (46.0428588 14.4875933)
